0	soledad o'brien takes users inside a jail where many of the inmates are mentally ill. the ninth floor of the miami-dade pretrial detention facility is dubbed the "forgotten floor" it's where many mentally ill inmates are housed before trial. judge steven leifman says one-third of all inmates in miami county jails are mental ill. he says the mentally ill patients often end up in the jail before they can be treated.
1	harry potter star daniel radcliffe turns 18 on monday. young actor says he has no plans to fritter away his fortune. radcliffe says he likes to buy books and cds for 10 pounds. he has a reported fortune of a reported $ 41.1 million.   radcliffe's earnings from the first five harry potter films are in a trust fund.
2	drivers who were on the minneapolis bridge when it collapsed tell harrowing tales of survival. one survivor says he thought he was going to die as the bridge fell under him. another says the rescue effort was organized and controlled, unlike the lightning-quick collapse.    a doctor says he rushed to the scene in 15 minutes to help people on the bridge.
3	5-year-old youssif was burned in iraq on january 15. his parents told cnn their son was attacked and set on fire in baghdad, iraq. the children's burn foundation has agreed to pay for the family to come to the u.s. for treatment. the foundation says it will cover all medical costs for burn victims.
4	small polyps removed from president bush 's colon on saturday, white house says. president bush in good humor after procedure, spokesman says. all five small polyps were small and were removed for routine microscopic examination. vice president dick cheney assumed presidential power after the procedure. bush's last colonoscopy in june 2002 found no abnormalities.
5	nfl indefinitely suspends atlanta falcons quarterback michael vick without pay. vick admitted to participating in a dogfighting ring in a plea deal with federal prosecutors. vrick says he and two others killed dogs that did not fight well in a ring. the nfl commissioner calls vick's actions "cruel and reprehensible"
6	women in iraq sell their bodies to save their children for as little as $ 8 a day. humanitarian workers say women are driven to prostitution by a desperate survival in violent and unforgiving circumstances. some women prostitute themselves to put food on the table for their children. women activists pound the streets of baghdad looking for victims of prostitution.
7	white house press secretary tony snow will step down from his post on september 14. snow is undergoing treatment for cancer, will be replaced by deputy press secretary dana perino. president bush says he will "sadly accept'' snow's resignation. snow says he is leaving to earn more money, says his health is improving.
8	president bush to invoke historical lessons of iraq war in speech to veterans of foreign wars. bush to say withdrawal from vietnam emboldened today's terrorists, white house says. president will invoke other historical comparisons, including the korean war in 1950s. iraq progress report due in september, president bush says.
9	there is no remaining hope of finding six men trapped in utah coal mine alive, federal official says. the men have been trapped for almost a month in a cave-in at the crandall canyon mine. the white house says the search effort has exhausted all known options. the miners were trapped during a collapse on august 6 in the coal mine.
10	tomas medina caracas indicted in 2002 on charges of smuggling cocaine into u.s. from colombia. he was a member of high command of farc rebel group, accused of trafficking cocaine. he helped manage the group's extensive cocaine trafficking network, officials say. 14 rebels killed in air attack on guerrilla encampment, colombian military says.
11	empty at4 anti-tank rocket launcher tube found on front lawn of jersey city, new jersey home. one-time-use device turned over to u.s. army officials. no indication launcher had been fired recently, police say. neighbor says object looked military, had picture of a soldier on it.
12	june 29, 2007: police defuse bomb containing 200 liters of fuel, gas cylinders and nails found in abandoned car in haymarket, central london.    a string of bombings and attempted bomb attacks in the mainland uk since the 1970s. july 7, 2005: four suicide bombers kill 52 people in london after 7/7 bombings.  in august 2004, police disrupt a plot to blow up targets in southeast england.  ira terrorists have carried out a series of attacks on the mainland since the 1980s.
13	new: about 2,000 customers without power in san francisco area. magnitude 4.2 quake centered two miles east-northeast of oakland, the u.s. geological survey says. quake set off alarms at people's homes, police say. quake was centered at a depth of 3.6 miles, the usgs says.
14	bomb explodes in crowd waiting to see algeria 's president in batna, east of algiers. at least 14 people killed, 60 others wounded, officials say. bomb went off 15 minutes before expected arrival of president abdel-aziz bouteflika. no immediate claim of responsibility for the attack.
15	virus found in healthy australian honey bees may play role in collapse of honey bee colonies in u.s., researchers say. colony collapse disorder has killed millions of bees in the united states. bees are responsible for pollinating $ 15 billion worth of crops each year in the u.S.    israeli acute paralysis virus -lrb- iapv -rrb- is resistant to the disorder in australia's bees.
16	president bush to have routine colonoscopy friday night at presidential retreat in maryland. white house spokesman says no abnormalities found in bush's last colonoscope in 2002. vice president cheney will serve as acting president briefly saturday while bush is anesthetized. president bush is scheduled to have the routine procedure for colon cancer.
17	fearsome customers line up to empty accounts at northern rock building society. bank of england bailed out lender after slashing profit forecasts on friday. northern rock one of uk 's top five lenders and bailed out by the bank ofengland. savers believed to have already withdrawn about $ 2 billion since bank's woes were revealed.
18	david beckham has signed a five-year contract with the los angeles galaxy team. cnn's becky anderson charts beckham's rise to stardom in u.s. major league soccer. becky charts the life and times of the man with the golden boot. becks looks at how beckham fulfilled his dream of playing for manchester united.
19	carlos alberto signs for bundesliga club werder bremen for a club record fee of 7.8 million euros. former fc porto star scored in champions league final win against monaco in 2004. 22-year-old had success under jose mourinho at porto before joining corinthians.
20	insurance experts say no actor is uninsurable despite lindsay lohan's legal troubles. even the most volatile actors can be covered at a high cost, experts say. insurance rates for errant actors can range from 1 percent to 3 percent of a movie's budget. lohan arrested this week on suspicion of drunken driving and cocaine possession.
21	some famous songs were written for women.    beethoven's "für elise '' may have been written for a transvestite. the kinks' " philadelphia freedom '' was written for billie jean king's pro tennis team. the song "867-5309 / jenny" is a hit for a woman with a real phone number.
22	youssif, the burned iraqi boy, met his favorite superhero at universal studios in los angeles. the boy met spider-man and other superheroes. youssif met spongebob, lassie and a 3-year-old orangutan. the father of the boy says his son's story is just like the stories of other victims in iraq.
23	new: o.j. simpson will be held without bail after his arrest on robbery and assault charges. former football star accused of directing other men in alleged armed robbery of sports memorabilia in las vegas hotel room. police say they have no information simpson was carrying a firearm. alleged victims identified as collector and a man who says simpson apologized to him.
24	cpl. trent d. thomas found guilty of kidnapping and conspiracy in death of iraqi civilian in april 2006. he was among seven marines charged in connection with the death of hashim ibrahim awad. he will be demoted to the rank of entry-level private and receive a bad-conduct discharge. marines said awad planned to detonate a roadside bomb in iraq.
25	francesco totti threatens to quit the italian players association over starting date of next serie a season. italian football league voted to start the season on august 26 instead of august 19. roma striker totti has complained that the players are never listened to by the league.
26	roy lynn oakley is indicted on charges of stealing restricted nuclear energy-related materials. materials were taken from east tennessee technology park, prosecutors say. oakley allegedly tried to sell the materials to an undercover fbi agent, sources say. the materials posed no threat to the public, the justice department says.
27	a contestant drowns in preparation for nigeria's television survival show. anthony ogadje died in lake in nigeria 's hilly plateau state. he was one of nine contestants in the gulder ultimate search show. the show sets physical challenges for contestants.
28	dire shortage of donated organs in rich countries is sending foreigners to poor countries to buy organs. china, pakistan, turkey, egypt among countries with high demand for liver transplants and kidneys. transplant tourists travel to poor nations to buy body parts from people in desperate need of transplants. donors in south africa pay $ 700 for a kidney compared with $ 30,000 in china.
29	12-year-old mohammed rasoul lost his leg in a falluja explosion in 2006. his right leg was severed below the knee in the blast. the global medical relief fund has offered to help the boy. he will arrive in the united states on thursday afternoon for surgery and treatment.
30	relatives of those killed in sunday's plane crash in phuket arrive in the thai resort town to identify bodies. about 36 of the bodies have yet to be identified, thai news agency reports. most of the dead were foreign nationals, u.s. embassy in bangkok says. one-two-go jet crashed in bad weather as it landed on sunday.
31	prince harry led tributes to diana on the 10th anniversary of her death. prince harry describes her as "the best mother in the world'' in a speech at a memorial service. he says the princess of wales was a "guardian, friend and protector"    prince says she was "fun-loving, generous, down-to-earth and entirely genuine"
32	blackwater says allegations of unlawful arms activities are baseless. company says it has no knowledge of employee improperly exporting weapons. u.s. government sources say prosecutors investigating allegations of illegal weapons sales in iraq. 20 iraqi civilians were shot to death last weekend. blackwater is a security firm hired by the state department to guard u.S. staff in the country.
